Meal,Grams,Calories
Spinach Pizza,62,145
Stuffed Crust Pizza,149,380
Tarte Flambée,56,142
Thin Crust Pizza,60,157
Tuna Pizza,125,318
Vegetable Pizza,156,399
Vegetarian Pizza,156,399
Veggie Pizza,114,263
White Pizza,232,571
Acerola,4.8,1
Asian Pear,178,75
Avocado,200,320
Banana,125,111
Breadfruit,96,99
Cantaloupe Melon,69,23
Casaba Melon,125,35
Cherimoya,235,176
Dragon Fruit,200,120
Durian,602,885
Feijoa,42,23
Galia Melon,130,30
Grapefruit,123,52
Guava,55,37
Honeydew,125,45
Jackfruit,151,143
Kiwi,183,112
Kumquat,19,13
Lychee,10,7
Mandarin Oranges,90,48
Mango,336,202
Mangosteen,80,58
Maracuya,18,17
Maraschino Cherries,5,8
Muskmelon,69,23
Noni,28.4,15
Passion Fruit,18,17
Pineapple,905,453
Pink Grapefruit,123,52
Plantain,179,218
Pomegranate,282,234
Pomelo,609,231
Prickly Pear,19,8
Rambutan,9,7
Sapodilla,170,141
Soursop Fruit,625,413
Star Fruit,91,28
Tamarind,2,5
Watermelon,286,86
Arby's Grand Turkey Club,233,489
Arby's Reuben,308,641
Arby's Roast Beef Classic,154,360
Arby's Roast Beef Max,154,360
BBQ Rib,67,142
Bean Burrito,190,380
Big N' Tasty,232,517
Bratwurst,85,283
Burger King Angry Whopper,290,740
Burger King Double Whopper,374,894
Burger King Double Whopper with Cheese,399,994
Burger King Original Chicken Sandwich,219,659
Burger King Premium Alaskan Fish Sandwich,228,591
Burger King Triple Whopper,547,1471
Burger King Whopper,291,672
Burger King Whopper Jr.,148,346
Burger King Whopper with Cheese,315,759
Cheeseburger,156,410
Chicken Breast,71,116
Chicken Fajita,222,326
Chicken McNuggets,16,48
Chicken Nuggets,20,59
Chicken Pizziola,320,451
Chicken Sandwich,170,410
Chicken Teriyaki Sandwich,266,367
Chicken Wings,29,94
Chop Suey,340,585
Curly Fries,128,398
Double Cheeseburger,155,414
Egg Roll,80,200
Falafel,17,57
Filet-o-Fish,142,400
Fish and Chips,300,585
Fish Sandwich,158,431
French Fries,71,222
Grilled Chicken Salad,305,268
Ham Sandwich,146,352
Hamburger,110,279
Hot Dog,116,312
Italian BMT,224,410
Lasagna,130,172
McDonald's Big Mac,219,561
McDonald's Cheeseburger,114,300
McDonald's Chicken Nuggets,16,48
McDonald's Double Cheeseburger,155,437
McDonald's Filet-o-Fish,142,391
McDonald's McChicken,143,359
McDonald's McDouble,160,403
McDonald's McMuffi Egg,129,290
McDonald's McRib,170,451
McDonald's Mighty Wings,31,95
McRib,170,451
Meatball Sandwich,299,481
Nachos with Cheese,188,575
Onion Rings,6.5,25
Poutine,225,511
Smoked Salmon,28.35,44
Spicy Italian,219,480
Subway Club Sandwich,238,312
Tortilla Wrap,63,171
Tuna,28.35,24
Turkey,28.35,29
Veggie Burger,215,389
Veggie Delight,166,229
Veggie Patty,247,963
Wendy's Baconator,276,839
Wendy's Jr. Bacon Cheeseburger,161,420
Wendy's Jr. Cheeseburger,129,290
Wendy's Son of Baconator,218,700
Whopper,291,672
Zinger,202,517
Zinger Burger,202,517
Red Velvet Cup-Cake,100,457
Chicken 65,100,182
Dubai Pistachio Kunafa Chocolate,100,513
Gulab Jamun,100,30
